display_first_last,team_name,jersey,position,height,weight,rosterstatus,from_year,to_year
Dorie Murrey,SuperSonics,40,Forward,6-8,215,Inactive,1966,1971
Toure' Murry,,,Forward,6-5,195,Inactive,2013,2014
Dzanan Musa,Nets,13,Guard-Forward,6-9,217,Inactive,2018,2019
Mike Muscala,Wizards,57,Forward-Center,6-11,240,Active,2013,2023
Angelo Musi,Warriors,5,Guard,5-9,145,Inactive,1946,1948
Jerrod Mustaf,Suns,0,Forward,6-10,238,Inactive,1990,1993
Dikembe Mutombo,Nuggets,55,Center,7-2,260,Inactive,1991,2008
Martin Muursepp,Mavericks,13,Forward,6-9,235,Inactive,1996,1997
Pete Myers,,,Guard,6-6,180,Inactive,1986,1997
Svi Mykhailiuk,Hornets,17,Guard-Forward,6-7,205,Active,2018,2023
Makhtar N'diaye,Grizzlies,40,Forward,6-8,245,Inactive,1998,1998
Mamadou N'diaye,Raptors,34,Center,7-0,255,Inactive,2000,2004
Bob Naber,Olympians,,Forward,6-3,185,Inactive,1952,1952
Boris Nachamkin,Royals,17,Forward,6-6,210,Inactive,1954,1954
Bostjan Nachbar,Nets,7,Forward,6-9,221,Inactive,2002,2007
Abdel Nader,,,Forward,6-5,225,Inactive,2017,2021
Jerry Nagel,Pistons,9,Guard,6-0,190,Inactive,1949,1949
Fred Nagy,Jets,,Guard,6-1,185,Inactive,1948,1948
Lee Nailon,,,Forward,6-9,241,Inactive,2000,2005
Eduardo Najera,Nuggets,21,Forward,6-8,235,Inactive,2000,2011
Larry Nance Jr.,Pelicans,22,Forward-Center,6-8,245,Active,2015,2023
Paul Napolitano,Jets,,Guard,6-2,185,Inactive,1948,1948
Bob Nash,Kings,55,Forward,6-8,195,Inactive,1972,1978
Charles Nash,Lakers,17,Forward,6-5,215,Inactive,1964,1964
Steve Nash,Suns,10,Guard,6-3,178,Inactive,1996,2013
Swen Nater,Clippers,41,Center,6-11,240,Inactive,1976,1983
Howard Nathan,Hawks,14,Guard,5-11,175,Inactive,1995,1995
Kenny Natt,Jazz,2,Guard,6-3,185,Inactive,1980,1984
Willie Naulls,Knicks,12,Forward,6-6,225,Inactive,1956,1965
Hamady Ndiaye,,,Center,7-0,235,Inactive,2010,2013
Boniface Ndong,,,Center,7-0,205,Inactive,2005,2005
Maurice Ndour,Knicks,2,Forward,6-9,200,Inactive,2016,2016
Craig Neal,Heat,22,Guard,6-5,165,Inactive,1988,1990
Gary Neal,,,Guard,6-4,210,Inactive,2010,2016
Jim Neal,Nationals,,Center,6-11,235,Inactive,1953,1954
Ed Nealy,Kings,45,Forward,6-7,238,Inactive,1982,1992
Al Negratti,Capitols,,Forward,6-3,200,Inactive,1946,1946
DeMarcus Nelson,Warriors,21,Guard,6-4,200,Inactive,2008,2008
Don Nelson,Celtics,19,Forward,6-6,210,Inactive,1962,1975
Jameer Nelson,Magic,41,Guard,6-0,190,Inactive,2004,2017
Louie Nelson,Jazz,11,Guard,6-3,190,Inactive,1973,1977
Ruben Nembhard,,,Guard,6-3,208,Inactive,1996,1996
RJ Nembhard Jr.,Cavaliers,5,Guard,6-4,200,Inactive,2021,2021
Tyrone Nesby,Clippers,8,Forward-Guard,6-6,245,Inactive,1998,2001
Aaron Nesmith,Pacers,23,Guard-Forward,6-5,215,Active,2020,2023
Martin Nessley,Clippers,51,Forward,7-2,260,Inactive,1987,1987
Rasho Nesterovic,Timberwolves,12,Center,7-0,255,Inactive,1998,2009
Raul Neto,Cavaliers,19,Guard,6-2,180,Active,2015,2023
Johnny Neumann,Lakers,21,Guard,6-6,200,Inactive,1976,1977
Paul Neumann,76ers,15,Guard,6-1,175,Inactive,1961,1966
Melvin Newbern,Pistons,23,Guard,6-4,200,Inactive,1992,1992
Ira Newble,Cavaliers,14,Guard-Forward,6-7,220,Inactive,2000,2007
Johnny Newman,Bucks,2,Forward,6-7,210,Inactive,1986,2001
Malik Newman,,,Guard,6-3,190,Inactive,2019,2021
Dave Newmark,Bulls,29,Center,7-0,240,Inactive,1968,1969
Georges Niang,76ers,20,Forward,6-7,230,Active,2016,2023
Jack Nichols,Celtics,16,Center,6-7,222,Inactive,1948,1957
Andrew Nicholson,Magic,44,Forward,6-9,250,Inactive,2012,2016
Gaylon Nickerson,,,Guard,6-3,190,Inactive,1996,1996
Carl Nicks,Jazz,24,Guard,6-1,175,Inactive,1980,1982
John Niemiera,Pistons,,Guard,6-1,165,Inactive,1948,1949
Mike Niles,Suns,40,Forward,6-6,225,Inactive,1980,1980
Kurt Nimphius,Mavericks,40,Center,6-10,218,Inactive,1981,1989
Daishen Nix,Rockets,15,Guard,6-4,226,Inactive,2021,2022
Dyron Nix,Pacers,23,Guard,6-7,210,Inactive,1989,1989
Norm Nixon,Lakers,10,Guard,6-2,170,Inactive,1977,1988
Zeke Nnaji,Nuggets,22,Forward-Center,6-9,240,Active,2020,2023
Joakim Noah,Bulls,55,Forward-Center,6-11,232,Inactive,2007,2019
Chuck Noble,Pistons,14,Guard,6-4,190,Inactive,1955,1961
Andres Nocioni,,,,,,Inactive,2004,2016
David Noel,Bucks,34,Forward-Guard,6-6,230,Inactive,2006,2006
Nerlens Noel,,,Center-Forward,6-10,220,Inactive,2013,2022
Paul Noel,Knicks,15,Forward,6-4,185,Inactive,1947,1951
Jim Nolan,Warriors,19,Center,6-8,210,Inactive,1949,1949
Paul Nolen,Bullets,,Center,6-10,,Inactive,1953,1953
Jeff Nordgaard,,,Forward,6-7,225,Inactive,1997,1997
Robert Nordmann,Hawks,34,Center,6-10,225,Inactive,1961,1964
Johnny Norlander,Capitols,,Forward,6-3,180,Inactive,1946,1950
Connie Norman,76ers,11,Guard,6-3,175,Inactive,1974,1978
Ken Norman,,,Forward,6-8,215,Inactive,1987,1996
Audie Norris,Trail Blazers,24,Center,6-9,230,Inactive,1982,1984
Moochie Norris,Rockets,25,Guard,6-1,185,Inactive,1996,2005
Sylvester Norris,Spurs,40,Center,6-11,220,Inactive,1979,1979
George Nostrand,Steamrollers,,Center,6-8,195,Inactive,1946,1949
Stan Noszka,Ironmen,10,Guard,6-1,185,Inactive,1946,1948
Mike Novak,Royals,6,Center,6-9,219,Inactive,1948,1953
Steve Novak,,,Forward,6-10,225,Inactive,2006,2016
Jaylen Nowell,Timberwolves,4,Guard,6-4,201,Active,2019,2023
Mel Nowell,Zephyrs,20,Guard,6-2,170,Inactive,1962,1962
Dirk Nowitzki,Mavericks,41,Forward,7-0,245,Inactive,1998,2018
Frank Ntilikina,Mavericks,21,Guard,6-4,200,Active,2017,2023
Kendrick Nunn,Wizards,20,Guard,6-3,190,Active,2018,2023
James Nunnally,76ers,21,Forward,6-7,205,Inactive,2013,2020
Jusuf Nurkic,Trail Blazers,27,Center,7-0,290,Active,2014,2023
Dennis Nutt,Mavericks,21,Guard,6-2,170,Inactive,1986,1986
Jordan Nwora,Pacers,13,Forward,6-9,225,Active,2020,2023
Julius Nwosu,Spurs,0,Forward,6-10,255,Inactive,1994,1994
Ed O'Bannon,,,Forward,6-8,222,Inactive,1995,1996
John O'Boyle,Hawks,3,Guard,6-2,185,Inactive,1952,1952
Bob O'Brien,Warriors,,Forward,6-4,190,Inactive,1947,1948
Buckshot O'Brien,Olympians,,,,,Inactive,1951,1952
JJ O'Brien,,,Forward,6-7,220,Inactive,2015,2015
Patrick O'Bryant,Warriors,13,Center,7-0,250,Inactive,2006,2009
Dermie O'Connell,Celtics,,Guard,6-0,174,Inactive,1948,1949
Andy O'Donnell,Bullets,,Guard,6-1,180,Inactive,1949,1949
Francis O'Grady,Bombers,,Guard,5-11,160,Inactive,1946,1948
Tommy O'Keefe,,,Guard,6-2,185,Inactive,1950,1950
Mike O'Koren,Nets,31,Forward,6-7,207,Inactive,1980,1987
Jermaine O'Neal,Pacers,7,Center-Forward,6-11,255,Inactive,1996,2013
Shaquille O'Neal,Lakers,34,Center,7-1,325,Inactive,1992,2010
Royce O'Neale,Nets,0,Forward,6-6,226,Active,2017,2023
Mike O'Neill,Hawks,,Forward,6-3,210,Inactive,1952,1952
Kyle O'Quinn,Knicks,9,Center-Forward,6-9,250,Inactive,2012,2019
Garland O'Shields,Stags,,Guard,6-1,195,Inactive,1946,1946
Dan O'Sullivan,Jazz,,,6-10,250,Inactive,1990,1995
Charles Oakley,Knicks,33,Forward,6-9,245,Inactive,1985,2003
Fabricio Oberto,,,Center,6-10,245,Inactive,2005,2010
Daniel Ochefu,Wizards,32,Forward,6-11,245,Inactive,2016,2016
Greg Oden,Trail Blazers,20,Center,7-0,273,Inactive,2007,2013
Lamar Odom,Lakers,,Forward,6-10,230,Inactive,1999,2013
Carlos Ogden,76ers,28,Forward,6-6,215,Inactive,1969,1970
Ralph Ogden,Warriors,22,Forward,6-5,205,Inactive,1970,1970
Alan Ogg,Heat,50,Center,7-2,240,Inactive,1990,1992
Don Ohl,Pistons,10,Guard,6-3,190,Inactive,1960,1969
Tim Ohlbrecht,Rockets,14,Center-Forward,6-11,255,Inactive,2012,2012
Semi Ojeleye,,,Forward,6-6,240,Inactive,2017,2021
Emeka Okafor,Bobcats,50,Center,6-10,255,Inactive,2004,2017
Jahlil Okafor,76ers,13,Center-Forward,6-10,270,Inactive,2015,2020
Elie Okobo,Suns,2,Forward-Guard,6-3,190,Inactive,2018,2019
Josh Okogie,Suns,2,Guard,6-4,213,Active,2018,2023
Onyeka Okongwu,Hawks,17,Forward-Center,6-9,240,Active,2020,2023
Isaac Okoro,Cavaliers,35,Forward-Guard,6-5,225,Active,2020,2023
KZ Okpala,,,Forward-Guard,6-8,215,Inactive,2019,2022
Mehmet Okur,,,Center,6-11,260,Inactive,2002,2011
Victor Oladipo,Heat,4,Guard,6-3,213,Active,2013,2023
Hakeem Olajuwon,Rockets,34,Center,7-0,255,Inactive,1984,2002
Mark Olberding,Spurs,53,Forward,6-8,225,Inactive,1976,1986
Jawann Oldham,Bulls,22,Center,7-0,215,Inactive,1980,1990
Johnny Oldham,Pistons,4,Guard,6-3,175,Inactive,1949,1950
Frank Oleynick,SuperSonics,44,Guard,6-2,185,Inactive,1975,1976
John Olive,Clippers,40,Forward,6-7,210,Inactive,1978,1979
Brian Oliver,,,Guard,6-4,210,Inactive,1990,1997
Cameron Oliver,,,Forward,6-8,239,Inactive,2020,2021
Dean Oliver,Warriors,2,Guard,5-11,175,Inactive,2001,2002
Jimmy Oliver,,,Guard,6-5,205,Inactive,1991,1998
Kevin Ollie,76ers,7,Guard,6-2,195,Inactive,1997,2009
Gene Ollrich,Hawks,,Guard,5-11,160,Inactive,1949,1949
Michael Olowokandi,Clippers,41,Center,7-0,270,Inactive,1998,2006
Enoch Olsen,Royals,10,Forward,6-8,220,Inactive,1962,1968
Kelly Olynyk,Jazz,41,Forward-Center,6-11,240,Active,2013,2023
Eugene Omoruyi,Pistons,97,Forward,6-6,235,Inactive,2021,2022
Miye Oni,,,Guard-Forward,6-5,206,Inactive,2019,2021
Arinze Onuaku,,,Forward-Center,6-9,255,Inactive,2013,2016
Chinanu Onuaku,Rockets,21,Center,6-10,245,Inactive,2016,2017
Barry Orms,Bullets,33,Guard,6-3,190,Inactive,1968,1968
Louis Orr,Knicks,55,Forward,6-8,175,Inactive,1980,1987
Jose Ortiz,Jazz,44,Forward,6-10,225,Inactive,1988,1989
Daniel Orton,,,Center,6-10,275,Inactive,2010,2013
Chuck Osborne,Nationals,23,Forward,6-6,210,Inactive,1961,1961
Cedi Osman,Cavaliers,16,Forward,6-7,230,Active,2017,2023
Wally Osterkorn,Nationals,8,Forward,6-5,215,Inactive,1951,1954
Greg Ostertag,,,Center,7-2,280,Inactive,1995,2005
Matt Othick,Spurs,12,Guard,6-2,165,Inactive,1992,1992
Don Otten,Hawks,14,Center,6-10,240,Inactive,1949,1952
Mac Otten,Bombers,,Forward,6-7,220,Inactive,1949,1949
Daniel Oturu,,,Center,6-8,240,Inactive,2020,2021
Kelly Oubre Jr.,Hornets,12,Forward-Guard,6-6,203,Active,2015,2023
Bo Outlaw,,,Forward,6-8,220,Inactive,1993,2007
Claude Overton,Warriors,14,Guard,6-2,195,Inactive,1952,1952
Doug Overton,Bullets,24,Guard,6-3,190,Inactive,1992,2003
Andre Owens,Pacers,20,Guard,6-4,200,Inactive,2005,2007
Billy Owens,Warriors,2,Forward-Guard,6-9,225,Inactive,1991,2002
Chris Owens,Grizzlies,20,Forward,6-7,245,Inactive,2002,2002
Eddie Owens,Braves,40,Forward,6-7,210,Inactive,1977,1977
James Owens,Hawks,,Guard,6-3,185,Inactive,1949,1951
Jim Owens,Suns,45,Forward,6-5,200,Inactive,1973,1974
Keith Owens,Lakers,25,Forward,6-7,225,Inactive,1991,1991
